Titulo,Estreno,Pais,Idiomas,Direccion,Nota,Productoras,Clasificacion,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Premios,Sinopsis,Genero1,Genero2,Duracion
Harry Potter y el prisionero de Azkaban,2004,Reino Unido,Ingles,Alfonso Cuarón,6.9,Summit Entertainment,G,Daniel Radcliffe, Rupert Grint, Emma Watson, David Thewlis, Michael Gambon, Robbie Coltrane,,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo.",Aventuras, Drama,90
Las amigas de Àgata,2015,España,Español,"Laia Alabart, Alba Cros, Laura Rius, Marta Verheyen",5.6,Universal Pictures,PG,Elena Martin, Carla Linares, Marta Cañas, Victòria Serra,,,Mejor Película,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",Drama,,90
"Camino sin retorno (Arrivederchi amore, ciao) ",2006,Italia,Italiano,Michele Soavi,5.2,Village Roadshow Pictures,PG-13,Alessio Boni, Michele Placido, Isabella Ferrari, Alina Nadelea, Carlo Cecchi, Antonello Fassari,Mejor Guión,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",Thriller,,90
Sleepover,2004,Estados Unidos,Ingles,Joe Nussbaum,4.2,Legendary Entertainment,G,Alexa Vega, Jeff Garlin, Jane Lynch, Mika Boorem, Sara Paxton, Brie Larson,,Suspendisse potenti. Nullam porttitor lacus at turpis.,Comedia,,90
The Professional,2003,ia y Montenegro,,Dusan Kovacevic,6.9,Miramax,PG,Bora Todorovic, Branislav Lecic, Natasa Ninkovic, Dragan Jovanovic, Josif Tatic, Miodrag Krstovic,,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,Drama, Comedia,120
Little Monsters,2019,Australia,Ingles,Abe Forsythe,5.9,Universal Pictures,G,Lupita Nyong'o, Alexander England, Josh Gad, Nadia Townsend, Stephen Peacocke, Rahel Romahn,,In congue. Etiam justo. Etiam pretium iaculis justo.,Terror, Comedia,60
Un plan perfecto (Master Plan),2015,Suecia,,Alain Darborg,5.2,DreamWorks Pictures,R,Alexander Karim, Susanne Thorson, Jens Hultén, Simon J. Berger, Torkel Petersson, Stefan Cronwall,Mejor Diseño de Producción,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",Acción, Comedia,90
View From the Top,2003,Estados Unidos,Ingles,Bruno Barreto,4.4,STX Entertainment,G,Gwyneth Paltrow, Christina Applegate, Mark Ruffalo, Candice Bergen, Kelly Preston, Rob Lowe,Mejor Actriz Principal,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Comedia, Romance,60
Mientras dure la guerra,2019,España,Español,Alejandro Amenábar,6.8,Walt Disney Pictures,PG,Karra Elejalde, Eduard Fernández, Santi Prego, Patricia López Arnaiz, Inma Cuevas, Nathalie Poza,Mejor Actor de Reparto,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,Drama,,120
"Amor, curiosidad, prozak y dudas ",2001,España,Español,Miguel Santesmases,4.6,Miramax Films,G,Pilar Punzano, Guillaume Depardieu, Rosa Mariscal, Silvia Marsó, Nancho Novo, Esther Ortega,Mejor Actor Principal,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,Drama,,120
The Mechanic,2011,Estados Unidos,Ingles,Simon West,5.7,Legendary Pictures,PG-13,Jason Statham, Ben Foster, Donald Sutherland, Tony Goldwyn, Mini Anden, Christa Campbell,,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,Acción, Thriller,
Moffie,2019,Sudáfrica,Ingles,Oliver Hermanus,6.8,Amblin Partners,PG-13,Kai Luke Brummer, Ryan de Villiers, Hilton Pelser, Shaun Chad Smit, Stefan Vermaak, Matthew Vey,Mejor Actor Principal,,Drama,,60
Duda razonable,2014,Canadá,Ingles,Peter Howitt,4.7,Regency Enterprises,PG-13,Samuel L. Jackson, Dominic Cooper, Erin Karpluk, Gloria Reuben, Ryan Robbins, Dylan Taylor,,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",Thriller,,120
"Nannerl, la hermana de Mozart ",2010,Francia,Frances,René Féret,5.7,Summit Entertainment,PG-13,Marie Féret, Marc Barbe, Delphine Chulliot, David Moreau, Clovis Fouin, Lisa Féret,,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",Drama,,
Te doy mis ojos,2003,España,Español,Icíar Bollaín,7.4,Miramax Films,R,Laia Marull, Luis Tosar, Candela Peña, Rosa María Sardà, Kiti Manver, Elisabet Gelabert,,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",Drama,,90
Condenados,2013,Estados Unidos,Ingles,Atom Egoyan,5.1,DreamWorks Pictures,PG-13,Reese Witherspoon, Colin Firth, Alessandro Nivola, James Hamrick, Kristopher Higgins, Seth Meriwether,Mejor Guión,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",Drama, Thriller,
Citadel,2012,Irlanda,,Ciarán Foy,5.6,Miramax,NR,Amy Shiels, James Cosmo, Aneurin Barnard, Wunmi Mosaku, Ian Hanmore, Ingrid Craigie,,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",Terror, Thriller,
Macho,2016,México,Español,Antonio Serrano,3.2,A24,PG-13,Miguel Rodarte, Aislinn Derbez, Cecilia Suárez, Renato López, Manolo Cardona, Mario Iván Martínez,Mejor Director,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Comedia,,45
Una amistad inolvidable,2007,Francia,Frances,Luc Jacquet,6.1,Miramax,G,Bertille Noël-Bruneau, Thomas Laliberté, Isabelle Carré,,,,,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Drama,,150
Fading of the Cries,2011,Estados Unidos,Ingles,Brian A. Metcalf,1.9,Sony Pictures Entertainment,PG,Brad Dourif, Thomas Ian Nicholas, Hallee Hirsh, Jordan Matthews, Elaine Hendrix, Lateef Crowder,,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,Fantástico, Terror,45
Reflejos,2001,España,Español,Miguel Ángel Vivas,4.5,Miramax,G,Georges Corraface, Ana Fernández, Emilio Gutiérrez Caba, Alberto Jiménez, Carlos Kaniowsky, Magüi Mira,,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",Intriga,,90
Direct Contact,2009,Estados Unidos,Ingles,Danny Lerner,3.4,Marvel Studios,NC-17,Dolph Lundgren, Gina May, Michael Paré, Bashar Rahal, James Chalke, Mike Straub,Mejor Película,Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui.,Acción,,120
"Alone, las pesadillas de un asesino ",2002,Reino Unido,Ingles,Phil Claydon,3.8,Sony Pictures Entertainment,G,Miriam Margolyes, John Shrapnel, Laurel Holloman, Isabel Brook, Caroline Carver, Claire Goose,Mejor Diseño de Producción,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",Terror,,45
Carne de neón,2010,España,Español,Paco Cabezas,5.2,Miramax Films,PG,Mario Casas, Vicente Romero, Macarena Gómez, Ángela Molina, Blanca Suárez, Darío Grandinetti,,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Drama, Comedia,90
Mi nombre es Baghdad,2020,Brasil,Portugues,Caru Alves de Souza,6.8,Lionsgate Films,G,Grace Orsato, Karina Buhr, Marie Maymone, Helena Luz, Gilda Nomacce, Paulette Pink,,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",Drama,,90
The Bodyguard 2,2007,Tailandia,,Petchtai Wongkamlao,3.6,Screen Gems,G,Petchtai Wongkamlao, Jacqueline Apitananon, Choosak Iamsook, Tony Jaa,,,Mejor Director,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,Acción,,60
Disorder (El Protector),2015,Francia,Frances,Alice Winocour,4.8,DreamWorks Pictures,PG,Matthias Schoenaerts, Diane Kruger, Paul Hamy, Victor Pontecorvo, Chems Eddine, Philippe Haddad,,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",Drama, Thriller,60
The Rental,2020,Estados Unidos,Ingles,Dave Franco,5.5,Miramax Films,PG-13,Alison Brie, Dan Stevens, Jeremy Allen White, Sheila Vand, Toby Huss, Anthony Molinari,Mejor Actor Principal,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,Intriga, Terror,150
Flipado sobre ruedas,2007,Estados Unidos,Ingles,Akiva Schaffer,5,New Line Cinema,PG,Andy Samberg, Jorma Taccone, Isla Fisher, Bill Hader, Danny McBride, Ian McShane,,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,Acción, Comedia,90
Jean-François y el sentido de la vida,2018,España,Español,Sergi Portabella,5.5,STX Entertainment,PG-13,Max Megías, Claudia Vega, Àgata Roca, Pau Durà, Théo Cholbi, Eudald Font,Mejor Película,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Comedia,,150
A ciegas,2018,Estados Unidos,Ingles,Susanne Bier,5.7,20th Century Studios,PG,Sandra Bullock, Trevante Rhodes, John Malkovich, Sarah Paulson, Jacki Weaver, Danielle Macdonald,,Nulla tellus. In sagittis dui vel nisl.,Drama, Fantástico,90
The Legend of Halloween Jack,2018,Reino Unido,Ingles,Andrew Jones,2.3,Miramax Films,PG-13,Jason Gregg, Bobbi Jo Hart, Aaron Jeffcoate, Jamie Knox, Megan Lockhurst, Lee Bane,,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",Terror,,60
Los productores,2005,Estados Unidos,Ingles,Susan Stroman,5.6,DreamWorks Pictures,NC-17,Nathan Lane, Matthew Broderick, Uma Thurman, Will Ferrell, Gary Beach, Roger Bart,,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",Comedia,,90
Anamorph,2007,Estados Unidos,Ingles,Henry Miller,4.4,20th Century Studios,NC-17,Willem Dafoe, Scott Speedman, Peter Stormare, Clea Duvall, James Rebhorn, Amy Carlson,,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,Terror, Thriller,120
Lobos sucios,2015,España,Español,Simón Casal,5.5,Miramax,PG,Marián Álvarez, Manuela Vellés, Isak Férriz, Pierre Kiwitt, Thomas Coumans, Sam Louwyck,Mejor Actor Principal,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",Aventuras, Thriller,60
It Follows,2014,Estados Unidos,Ingles,David Robert Mitchell,6.3,Screen Gems,PG,Maika Monroe, Keir Gilchrist, Daniel Zovatto, Jake Weary, Olivia Luccardi, Lili Sepe,Mejor Actriz Principal,,Terror,,150
The Booth,2005,Japón,Japones,Yoshihiro Nakamura,5.6,Pixar Animation Studios,G,Makoto Ashikawa, Masaki Miura, Mansaku Ikeuchi, Maiko Asano, Ryûta Satô,,Mejor Banda Sonora Original,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.",Terror, Thriller,60
Tú y yo,2012,Italia,Italiano,Bernardo Bertolucci,6.3,Miramax,G,Jacopo Olmo Antinori, Tea Falco, Sonia Bergamasco, Veronica Lazar, Tommaso Ragno, Pippo Delbono,,Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,Drama,,90
The Quiet Hour,2014,Reino Unido,Ingles,Stéphanie Joalland,4.2,EuropaCorp,G,Dakota Blue Richards, Karl Davies, Jack McMullen, Brigitte Millar, James Browne, Zeb Moore,,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",Ciencia ficción,,90
Laggies,2014,Estados Unidos,Ingles,Lynn Shelton,5.5,Universal Pictures,G,Keira Knightley, Chloë Grace Moretz, Sam Rockwell, Gretchen Mol, Kaitlyn Dever, Ellie Kemper,Mejor Película,Quisque ut erat. Curabitur gravida nisi at nibh.,Comedia, Romance,45
La invitación,2015,Estados Unidos,Ingles,Karyn Kusama,6.3,Lucasfilm,PG-13,Logan Marshall-Green, Michiel Huisman, Tammy Blanchard, John Carroll Lynch, Mike Doyle, Emayatzy Corinealdi,Mejor Película,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,Terror, Thriller,90
La última llamada,2013,Estados Unidos,Ingles,Brad Anderson,5.9,DreamWorks Pictures,G,Halle Berry, Abigail Breslin, Morris Chestnut, Michael Eklund, David Otunga, Michael Imperioli,Mejor Actor Principal,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,Intriga, Thriller,90
Newness,2017,Estados Unidos,Ingles,Drake Doremus,5.7,Annapurna Pictures,NR,Nicholas Hoult, Laia Costa, Courtney Eaton, Matthew Gray Gubler, Pom Klementieff, Jessica Henwick,,,Drama, Romance,60
Competencia desleal,2001,Italia,Italiano,Ettore Scola,7.2,20th Century Studios,NC-17,Diego Abatantuono, Sergio Castellitto, Gérard Depardieu, Jean-Claude Brialy, Claude Rich, Claudio Bigagli,,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",Drama,,60
El último show,2006,Estados Unidos,Ingles,Robert Altman,5.7,Universal Pictures,G,Woody Harrelson, Tommy Lee Jones, Meryl Streep, Lily Tomlin, Kevin Kline, Lindsay Lohan,Mejor Película,Donec posuere metus vitae ipsum. Aliquam non mauris.,Drama, Comedia,90
Parlor,2015,Estados Unidos,Ingles,"Devon Downs, Kenny Gage",4.1,Summit Entertainment,G,Robert LaSardo, Claire Garvey, Jordan James Smith, Anthony Del Negro, Beth Humphreys, Joey Fisher,,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",Terror,,60
Smoking Room,2002,España,Español,"J.D. Wallovits, Roger Gual",6.8,Toho Company,PG,Antonio Dechent, Juan Diego, Ulises Dumont, Eduard Fernández, Francesc Garrido, Miguel Angel González,Mejor Película,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",Drama,,60
La casa en la playa,2019,Argentina,Español,July Massaccesi,1.9,Participant Media,PG-13,José Luis Alfonzo, Pablo Alarcón, Ivanna Rossi, Victoria Aragón, Haydée Padilla,,Mejor Actriz Principal,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",Terror,,120
Batalla en el planeta,2008,Estados Unidos,Ingles,Greg Aronowitz,3.5,Amblin Partners,R,Zack Ward, Monica May, Colleen Smith, Kevin Thompson, John Duerler, Stephen Settgast,Mejor Director,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Ciencia ficción,,120
Visitante de invierno,2007,Argentina,Español,Sergio Esquenazi,4.3,Universal Pictures,G,Sandra Ballesteros, Santiago Pedrero, Ana Cuerdo, Diego Alonso Gómez, Roly Serrano, Catalina Artusi,Mejor Diseño de Producción,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",Terror, Thriller,120
El corazón de la Tierra,2007,España,Español,Antonio Cuadri,5.2,Warner Bros. Pictures,G,Catalina Sandino Moreno, Bernard Hill, Joaquim de Almeida, Sienna Guillory, Philip Winchester, Jorge Perugorría,Mejor Actor de Reparto,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.,Drama,,60
Replace,2017,Alemania,Aleman,Norbert Keil,4.5,Participant Media,PG,Rebecca Forsythe, Lucie Aron, Barbara Crampton, Sean Knopp, Adnan Maral, Agnes Kiyomi Decker,,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,Terror, Thriller,60
En el bosque,2015,Estados Unidos,Ingles,Patricia Rozema,5.2,Participant Media,PG,Ellen Page, Evan Rachel Wood, Max Minghella, Callum Keith Rennie, Michael Eklund, Sandy Sidhu,Mejor Actor Principal,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",Drama, Thriller,120
Protégé,2007,Hong Kong,Chino,Derek Yee,6.7,DreamWorks Pictures,G,Daniel Wu, Andy Lau, Anita Yuen, Zhang Jingchu, Louis Koo, Nirut Sirichanya,Mejor Película,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,Thriller,,
The Piper,2015,Corea del Sur,Coreano,Kim Kwang-Tae,6.1,Summit Entertainment,G,Ryu Seung-ryong, Lee Sung-min, Chun Woo-hee, Lee Joon, Goo Seung-Hyeon, Zach Aguilar,,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Intriga, Terror,60
Custodia compartida,2017,Francia,Frances,Xavier Legrand,7.2,MGM Studios,NC-17,Denis Menochet, Léa Drucker, Thomas Gioria, Mathilde Auneveux, Saadia Bentaïeb, Jean-Marie Winling,,,Drama,,120
Wedding Doll,2015,Israel,,Nitzan Giladi,6.2,Paramount Pictures,NR,Roy Assaf, Aryeh Cherner, Aviv Elkabets, Aviva Ger, Itzik Giuli, Ilan Hazan,Mejor Edición,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",Romance,,90
El cadáver de Anna Fritz,2015,España,Español,Hèctor Hernández Vicens,5.6,Lionsgate Films,G,Alba Ribas, Cristian Valencia, Bernat Saumell, Albert Carbó, Belén Fabra, Julia Lara,Mejor Guión,,Drama, Thriller,90
Háblame de amor,2008,Italia,Italiano,Silvio Muccino,5.4,Summit Entertainment,R,Silvio Muccino, Aitana Sánchez-Gijón, Carolina Crescentini, Andrea Renzi, Flavio Parenti, Geraldine Chaplin,,"Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Comedia, Romance,60
El secreto de la isla,2012,Reino Unido,Ingles,Nick Murphy,5.4,Legendary Pictures,PG-13,Paul Bettany, Stephen Graham, Mark Strong, Brian Cox, Zoe Tapper, Ben Crompton,Mejor Actriz de Reparto,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Thriller,,90
Aprendiz de gigoló,2013,Estados Unidos,Ingles,John Turturro,5.4,Miramax Films,PG-13,John Turturro, Woody Allen, Sharon Stone, Sofia Vergara, Vanessa Paradis, Liev Schreiber,,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",Comedia,,60
Revenge,2017,Francia,Frances,Coralie Fargeat,5.7,Warner Bros. Pictures,PG-13,Matilda Anna Ingrid Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède, Jean-Louis Tribes,,Mejor Película,Nullam varius. Nulla facilisi.,Thriller,,90
La Fille de nulle part,2012,Francia,Frances,Jean-Claude Brisseau,6.5,Columbia TriStar Motion Picture Group,NC-17,Virginie Legeay, Jean-Claude Brisseau, Claude Morel, Lise Bellynck, Sébastien Bailly, Anne Berry,Mejor Edición,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,Fantástico,,45
Red Shadow,2001,Japón,Japones,Hiroyuki Nakano,3.3,Columbia Pictures,PG,Masanobu Ando, Megumi Okina, Kumiko Aso, Jun Murakami, Naoto Takenaka, Fumiya Fujii,,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",Acción, Aventuras,
Tras la pared,2015,Francia,Frances,Clovis Cornillac,5.5,Focus Features,G,Mélanie Bernier, Clovis Cornillac, Lilou Fogli, Philippe Duquesne, Gregoire Oestermann, Oscar Copp,Mejor Actor Principal,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Comedia,,
Company of Heroes,2013,Estados Unidos,Ingles,Don Michael Paul,4.2,Miramax,PG,Tom Sizemore, Neal McDonough, Vinnie Jones, Jürgen Prochnow, Melia Kreiling, Sam MacKenzie,,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",Acción,,60
Nodame Cantabile: Final Score. Part II,2010,Japón,Japones,"Kawamura Yasuhiro, Hideki Takeuchi",7.3,Universal Pictures,PG,Juri Ueno, Hiroshi Tamaki, Keisuke Koide, Asami Mizukawa, Naoto Takenaka, Eiji Wentz,Mejor Edición,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",Romance,,
La batalla de Hadiza,2007,Reino Unido,Ingles,Nick Broomfield,6.2,Columbia Pictures,G,Elliot Ruiz, Yasmine Hanani, Andrew McLaren, Matthew Knoll, Thomas Hennessy, Vernon Gaines,,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Drama,,150
Puppylove,2013,Bélgica,,Delphine Lehericey,5.9,Miramax,G,Solène Rigot, Audrey Bastien, Vincent Pérez, Thomas Coumans, Joel Basman, Valérie Bodson,Mejor Película,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Romance,,90
Sand Sharks,2012,Estados Unidos,Ingles,Mark Atkins,2.2,Summit Entertainment,G,Corin Nemec, Gina Holden, Brooke Hogan, Vanessa Lee Evigan, Andrea Pineda, Eric Scott Woods,Mejor Director,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,Ciencia ficción, Terror,150
Cold Mountain,2003,Estados Unidos,Ingles,Anthony Minghella,6.6,Universal Pictures,PG-13,Jude Law, Nicole Kidman, Renée Zellweger, Brendan Gleeson, Ray Winstone, Donald Sutherland,Mejor Actriz de Reparto,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",Drama, Romance,120
El francotirador (Le guetteur),2012,Francia,Frances,Michele Placido,5.2,Walt Disney Pictures,R,Daniel Auteuil, Mathieu Kassovitz, Olivier Gourmet, Francis Renaud, Nicolas Briançon, Jérôme Pouly,,Nullam molestie nibh in lectus. Pellentesque at nulla.,Thriller,,90
El regalo de Silvia,2003,España,Español,Dionisio Pérez,5.8,Walt Disney Pictures,PG-13,Bárbara Goenaga, Luis Tosar, Víctor Clavijo, Adriana Domínguez, María Bouzas, Pablo Galán,,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,Drama,,45
Gallants,2010,Hong Kong,Chino,"Clement Cheng, Derek Kwok",5.5,Paramount Pictures,G,Bruce Leung, Chen Kuan-Tai, Teddy Robin Kwan, Wong You-Nam, Jin Auyeung, Li Hai-Tao,Mejor Actriz Principal,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",Acción,,45
Super,2010,Estados Unidos,Ingles,James Gunn,6.2,Miramax Films,G,Rainn Wilson, Ellen Page, Liv Tyler, Kevin Bacon, Gregg Henry, Michael Rooker,Mejor Guión,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",Acción, Drama,120
Gringo: Se busca vivo o muerto,2018,Estados Unidos,Ingles,Nash Edgerton,5.4,Constantin Film,PG-13,David Oyelowo, Joel Edgerton, Charlize Theron, Amanda Seyfried, Thandie Newton, Sharlto Copley,Mejor Actor de Reparto,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",Acción, Comedia,90
La última secta,2006,Canadá,Ingles,Jonathan Dueck,2.4,Paramount Pictures,PG,David Carradine, Natalie Brown, Julian Richings, Jordan Dyck, Deborah Odell, Erin Berry,Mejor Director,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",Terror, Thriller,90
